id,card_name,bank_id,purchase_interest_rate,cash_interest_rate,bt_interest_rate,interest_free_period,annual_fee,rewards_fee,additional_card_holder_fee,late_payment_fee,over_limit_fee,annual_spend_bonus,min_credit_limit,min_income,minimum_monthly_repayment,type_of_program,travel_insurance,purchase_insurance,concierge,amex_card,BT_rate,BT_load_fee,BT_period,IO_bonus_points,IO_first_year_fee,IO_offer_enddate,Qantas_conversion_rate,Velocity_conversion_rate,points_to_redeem_1,points_MEL_SYD_one_way,points_myer100,info_url,image_url
32,Platinum Reserve Credit Card,1,20.74,,,55,395,,,30,15,,3000,65000,2.5,Proprietary,1,1,1,0,99,1,6,30000,395,,1,1,,6900,13500,https://www.americanexpress.com/au/content/platinum-reserve-credit-card,Platinum Reserve Credit Card.jpg
7,Platinum Rewards,1,20.74,,,55,80,,,,,,,40000,0.025,Proprietary,1,1,1,0,0.99,1,6,,,,1,1,,6900,13500,https://www.americanexpress.com/australia/platinum-rewards-credit-card/,Platinum Rewards.jpg
24,Qantas American Express Discovery Card,1,20.74,,,44,,,,30,30,,1000,35000,0.03,QFF,1,1,1,0,0.99,1,6,7500,,,1,1,,8000,15100,http://www.americanexpress.com/australia/campaigns/discoverypalms/index.html,Qantas American Express Discovery Card.jpg
26,Qantas American Express Premium Card,1,20.74,,,44,249,,,30,30,,1000,40000,3,QFF,1,1,1,0,0.99,1,6,30000,149,,1,1,,8000,15100,http://www.americanexpress.com/australia/campaigns/qantaspremiumrtp/index.html,Qantas American Express Premium Card.jpg
31,Qantas American Express Ultimate Card,1,20.74,,,44,450,,,30,30,,3000,65000,2.5,QFF,1,1,1,0,0.99,1,6,50000,250,,1,1,,8000,15100,http://www.americanexpress.com/australia/campaigns/qantasultimatertp/index.html,Qantas American Express Ultimate Card.jpg
12,Qantas Rewards,5,19.99,21.74,,44,65,,,,,,500,,,,0,0,0,1,,0,,20000,,19/10/14,,,,8000,15100,http://www.nab.com.au/personal/credit-cards/qantas-credit-cards/nab-qantas-rewards-card,Qantas Rewards.jpg
8,Qantas Rewards Premium,5,19.99,21.74,,44,250,,,,,,5000,,,,1,1,1,1,,0,,40000,,19/10/14,,,,8000,15100,http://www.nab.com.au/personal/credit-cards/qantas-credit-cards/nab-qantas-rewards-premium-card,Qantas Rewards Premium.jpg
38,Rewards Mastercard,4,19.99,19.99,,62,49,,,,,,,,,,0,0,0,0,,0,,,,,,,,,,,Rewards Mastercard.png
11,Singapore Airlines Westpac Platinum,6,19.74,20.49,,45,250,,,,,,,,,other,0,0,0,1,0.0099,0,6,10000,,,,,,8000,15100,http://www.westpac.com.au/personal-banking/credit-cards/reward/singapore-airlines-platinum/,Singapore Airlines Westpac Platinum.png
23,Velocity Escape Card,1,20.74,,,44,,,,30,,,2000,40000,0.025,Velocity,1,1,1,0,0.99,1,6,7500,,,,1,,6900,13500,http://www.americanexpress.com/australia/velocity-rewards-escapecard,Velocity Escape Card.jpg
25,Velocity Gold,1,20.74,,,44,199,,,6,15,,3000,40000,0.025,Velocity,1,1,1,0,0.99,1,6,15000,99,,,1,,6900,13500,http://www.americanexpress.com/australia/velocity-rewards-goldcard,Velocity Gold.jpg
30,Velocity Platinum,1,20.74,,,44,349,,,30,15,,3000,65000,2.5,Velocity,1,1,1,0,0.99,1,6,50000,349,,,1,,6900,13500,http://www.americanexpress.com/australia/velocity-rewards-platinumcard,Velocity Platinum.jpg
36,Velocity Rewards,5,19.99,21.74,,44,65,,,,,,500,,,,,,,,,,,,,,,,,,,,Velocity Rewards.jpg
35,Velocity Rewards Premium,5,19.99,21.74,,44,250,,,,,,6000,,,,,,,,,,,,,,,,,,,,Velocity Rewards Premium.jpg
